Title: MORB_Gale2013-4

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 spinel_0 rhm-oxide_0 whitlockite 
5000.00 1573.15 100.139856 36.616890 36.616890 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.140003 36.604532 36.604532 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.140155 36.592178 36.592178 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.140313 36.579828 36.579828 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.140476 36.567482 36.567482 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.140645 36.555139 36.555139 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.140819 36.542801 36.542801 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.140744 36.451942 35.942240 0.000000 0.509701 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.140609 36.296335 34.858406 0.000000 1.437929 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.140671 36.147121 33.823968 0.000000 2.323153 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.140913 36.003940 32.835671 0.000000 3.168269 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.141321 35.866404 31.890265 0.000000 3.976138 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1513.15 100.141027 35.677406 29.791991 0.000000 4.961831 0.000000 0.000000 0.923584 0.000000 0.000000 0.000000 
5000.00 1508.15 100.140031 35.465433 27.041100 0.000000 5.998885 0.000000 0.000000 2.425447 0.000000 0.000000 0.000000 
5000.00 1503.15 100.138940 35.270743 24.477254 0.000000 6.933623 0.000000 0.000000 3.859867 0.000000 0.000000 0.000000 
5000.00 1498.15 100.137861 35.093167 22.122631 0.000000 7.770404 0.000000 0.000000 5.200132 0.000000 0.000000 0.000000 
5000.00 1493.15 100.136886 34.931127 19.966904 0.000000 8.322192 0.198664 0.000000 6.443367 0.000000 0.000000 0.000000 
5000.00 1488.15 100.136104 34.782660 17.991576 0.000000 8.354327 0.844338 0.000000 7.592420 0.000000 0.000000 0.000000 
5000.00 1483.15 100.135481 34.646395 16.200954 0.000000 8.385688 1.426699 0.000000 8.633055 0.000000 0.000000 0.000000 
5000.00 1478.15 100.135011 34.520304 14.565903 0.000000 8.419375 1.954287 0.000000 9.580739 0.000000 0.000000 0.000000 
5000.00 1473.15 100.134691 34.402752 13.062423 0.000000 8.456724 2.435015 0.000000 10.448590 0.000000 0.000000 0.000000 
5000.00 1468.15 100.134513 34.292461 11.671413 0.000000 8.498065 2.875730 0.000000 11.247252 0.000000 0.000000 0.000000 
5000.00 1463.15 100.134471 34.188410 10.377081 0.000000 8.543110 3.282310 0.000000 11.985908 0.000000 0.000000 0.000000 
5000.00 1458.15 100.134549 34.089775 9.165836 0.000000 8.591241 3.659653 0.000000 12.673044 0.000000 0.000000 0.000000 
5000.00 1453.15 100.134726 33.995889 8.025538 0.000000 8.641736 4.011567 0.000000 13.317049 0.000000 0.000000 0.000000 
5000.00 1448.15 100.134969 33.906228 6.945168 0.000000 8.693996 4.340638 0.000000 13.926427 0.000000 0.000000 0.000000 
5000.00 1443.15 100.135230 33.817884 5.894984 0.000000 8.750610 4.658347 0.000000 14.507939 0.000000 0.000000 0.006005 
5000.00 1438.15 100.135628 33.731835 4.899461 0.000000 8.811525 4.966695 0.000000 15.037290 0.000000 0.000000 0.016863 
5000.00 1433.15 100.136518 33.652888 4.045369 0.000000 8.873918 5.261217 0.000000 15.445852 0.000000 0.000000 0.026532 
5000.00 1428.15 100.138069 33.582044 3.363346 0.000000 8.934523 5.548591 0.000000 15.699966 0.000000 0.000000 0.035618 
5000.00 1423.15 100.140030 33.517863 2.810595 0.000000 8.990377 5.829265 0.000000 15.843227 0.000000 0.000000 0.044399 
5000.00 1418.15 100.142089 33.459397 2.347202 0.000000 9.040560 6.097526 0.000000 15.921349 0.000000 0.000000 0.052760 
5000.00 1413.15 100.144000 33.406865 1.956256 0.000000 9.084852 6.344190 0.000000 15.961159 0.000000 0.000000 0.060408 
5000.00 1408.15 100.145598 33.360839 1.632016 0.000000 9.123275 6.560535 0.000000 15.977969 0.000000 0.000000 0.067044 
5000.00 1403.15 100.146807 33.321449 1.369544 0.000000 9.156127 6.742231 0.000000 15.981039 0.000000 0.000000 0.072508 
5000.00 1398.15 100.144156 33.274888 0.894284 0.128130 9.154522 6.918711 0.000000 16.093293 0.000000 0.000000 0.085948 
5000.00 1393.15 100.142283 33.354399 0.508765 0.146741 9.439866 5.904086 0.000000 16.838671 0.420854 0.000000 0.095417 
5000.00 1388.15 100.137915 33.336198 0.349455 0.195931 9.376211 6.006755 0.000000 16.891114 0.414955 0.000000 0.101777 
5000.00 1383.15 100.134784 33.303385 0.000000 0.312462 9.497013 5.945099 0.000000 16.989822 0.313267 0.126065 0.119655 
