Supereon,Eon,Era,Period,Superepoch,Epoch,Age,End,Start,Aliases
,Phanerozoic,Paleozoic,Permian,,Cisuralian,Kungurian,274.4,283.3,
,Phanerozoic,Paleozoic,Permian,,Cisuralian,Artinskian,283.3,290.1,
,Phanerozoic,Paleozoic,Permian,,Cisuralian,Sakmarian,290.1,293.52,
,Phanerozoic,Paleozoic,Permian,,Cisuralian,Asselian,293.52,298.9,
,Phanerozoic,Paleozoic,Carboniferous,,,,298.9,358.86,
,Phanerozoic,Paleozoic,Carboniferous,Pennsylvanian,,,298.9,323.4,
,Phanerozoic,Paleozoic,Carboniferous,Pennsylvanian,Upper,,298.9,307,
,Phanerozoic,Paleozoic,Carboniferous,Pennsylvanian,Upper,Gzhelian,298.9,303.7,
,Phanerozoic,Paleozoic,Carboniferous,Pennsylvanian,Upper,Kasimovian,303.7,307,
,Phanerozoic,Paleozoic,Carboniferous,Pennsylvanian,Middle,,307,315.2,
,Phanerozoic,Paleozoic,Carboniferous,Pennsylvanian,Middle,Moscovian,307,315.2,
,Phanerozoic,Paleozoic,Carboniferous,Pennsylvanian,Lower,,315.2,323.4,
,Phanerozoic,Paleozoic,Carboniferous,Pennsylvanian,Lower,Bashkirian,315.2,323.4,
,Phanerozoic,Paleozoic,Carboniferous,Mississippian,,,323.4,358.86,
,Phanerozoic,Paleozoic,Carboniferous,Mississippian,Upper,,323.4,330.3,
,Phanerozoic,Paleozoic,Carboniferous,Mississippian,Upper,Serpukhovian,323.4,330.3,
,Phanerozoic,Paleozoic,Carboniferous,Mississippian,Middle,,330.3,346.7,
,Phanerozoic,Paleozoic,Carboniferous,Mississippian,Middle,Visean,330.3,346.7,
,Phanerozoic,Paleozoic,Carboniferous,Mississippian,Lower,,346.7,358.86,
,Phanerozoic,Paleozoic,Carboniferous,Mississippian,Lower,Tournaisian,346.7,358.86,
,Phanerozoic,Paleozoic,Devonian,,,,358.86,419.62,
,Phanerozoic,Paleozoic,Devonian,,Upper,,358.86,382.31,
,Phanerozoic,Paleozoic,Devonian,,Upper,Famennian,358.86,372.15,
,Phanerozoic,Paleozoic,Devonian,,Upper,Frasnian,372.15,382.31,
,Phanerozoic,Paleozoic,Devonian,,Middle,,382.31,393.47,
,Phanerozoic,Paleozoic,Devonian,,Middle,Givetian,382.31,387.95,
,Phanerozoic,Paleozoic,Devonian,,Middle,Eifelian,387.95,393.47,
,Phanerozoic,Paleozoic,Devonian,,Lower,,393.47,419.62,
,Phanerozoic,Paleozoic,Devonian,,Lower,Emsian,393.47,410.62,
,Phanerozoic,Paleozoic,Devonian,,Lower,Pragian,410.62,413.02,
,Phanerozoic,Paleozoic,Devonian,,Lower,Lochkovian,413.02,419.62,
,Phanerozoic,Paleozoic,Silurian,,,,419.62,443.1,
,Phanerozoic,Paleozoic,Silurian,,Pridoli,,419.62,422.7,
,Phanerozoic,Paleozoic,Silurian,,Ludlow,,422.7,426.7,
,Phanerozoic,Paleozoic,Silurian,,Ludlow,Ludfordian,422.7,425,
,Phanerozoic,Paleozoic,Silurian,,Ludlow,Gorstian,425,426.7,
,Phanerozoic,Paleozoic,Silurian,,Wenlock,,426.7,432.9,
,Phanerozoic,Paleozoic,Silurian,,Wenlock,Homerian,426.7,430.6,
,Phanerozoic,Paleozoic,Silurian,,Wenlock,Sheinwoodian,430.5,432.9,
,Phanerozoic,Paleozoic,Silurian,,Llandovery,,432.9,443.1,
,Phanerozoic,Paleozoic,Silurian,,Llandovery,Telychian,432.9,430.6,
,Phanerozoic,Paleozoic,Silurian,,Llandovery,Aeronian,430.6,440.5,
,Phanerozoic,Paleozoic,Silurian,,Llandovery,Rhuddanian,440.5,443.1,
,Phanerozoic,Paleozoic,Ordovician,,,,443.1,485.85,
,Phanerozoic,Paleozoic,Ordovician,,Upper,,443.1,458.2,
,Phanerozoic,Paleozoic,Ordovician,,Upper,Hirnantian,443.1,445.2,
,Phanerozoic,Paleozoic,Ordovician,,Upper,Katian,445.2,452.8,
,Phanerozoic,Paleozoic,Ordovician,,Upper,Sandbian,452.8,458.2,
,Phanerozoic,Paleozoic,Ordovician,,Middle,,458.2,471.3,
,Phanerozoic,Paleozoic,Ordovician,,Middle,Darriwilian,458.2,469.4,
,Phanerozoic,Paleozoic,Ordovician,,Middle,Dapingian,469.4,471.3,
,Phanerozoic,Paleozoic,Ordovician,,Lower,,471.3,485.85,
,Phanerozoic,Paleozoic,Ordovician,,Lower,Floian,471.3,477.1,
,Phanerozoic,Paleozoic,Ordovician,,Lower,Tremadocian,477.1,485.85,
,Phanerozoic,Paleozoic,Cambrian,,,,485.85,538.8,
,Phanerozoic,Paleozoic,Cambrian,,Furongian,,485.85,497,
,Phanerozoic,Paleozoic,Cambrian,,Furongian,Stage 10,485.85,491,
,Phanerozoic,Paleozoic,Cambrian,,Furongian,Jiangshanian,491,494.2,
,Phanerozoic,Paleozoic,Cambrian,,Furongian,Paibian,494.2,497,
,Phanerozoic,Paleozoic,Cambrian,,Miaolingian,,497,506.5,
,Phanerozoic,Paleozoic,Cambrian,,Miaolingian,Guzhangian,497,500.5,
,Phanerozoic,Paleozoic,Cambrian,,Miaolingian,Drumian,500.5,504.5,
,Phanerozoic,Paleozoic,Cambrian,,Miaolingian,Wuliuan,504.5,506.5,
,Phanerozoic,Paleozoic,Cambrian,,Series 2,,506.5,521,
,Phanerozoic,Paleozoic,Cambrian,,Series 2,Stage 4,506.5,514.5,
,Phanerozoic,Paleozoic,Cambrian,,Series 2,Stage 3,514.5,521,
,Phanerozoic,Paleozoic,Cambrian,,Terreneuvian,,521,538.8,
,Phanerozoic,Paleozoic,Cambrian,,Terreneuvian,Stage 2,521,529,
,Phanerozoic,Paleozoic,Cambrian,,Terreneuvian,Fortunian,529,538.8,
Precambrian,,,,,,,538.8,4567,
Precambrian,Proterozoic,,,,,,538.8,2500,
Precambrian,Proterozoic,Neo-proterozoic,,,,,538.8,1000,
Precambrian,Proterozoic,Neo-proterozoic,,,Ediacaran,,538.8,635,
Precambrian,Proterozoic,Neo-proterozoic,,,Cryogenian,,635,720,
Precambrian,Proterozoic,Neo-proterozoic,,,Tonian,,720,1000,
Precambrian,Proterozoic,Meso-proterozoic,,,,,1000,1600,
Precambrian,Proterozoic,Meso-proterozoic,,,Stenian,,1000,1200,
Precambrian,Proterozoic,Meso-proterozoic,,,Ectasian,,1200,1400,
Precambrian,Proterozoic,Meso-proterozoic,,,Calymmian,,1400,1600,
Precambrian,Proterozoic,Paleo-proterozoic,,,,,1600,2500,
Precambrian,Proterozoic,Paleo-proterozoic,,,Statherian,,1600,1800,
Precambrian,Proterozoic,Paleo-proterozoic,,,Orosirian,,1800,2050,
Precambrian,Proterozoic,Paleo-proterozoic,,,Rhyacian,,2050,2300,
Precambrian,Proterozoic,Paleo-proterozoic,,,Siderian,,2300,2500,
Precambrian,Archean,,,,,,2500,4567,
Precambrian,Archean,Neo-archean,,,,,2500,2800,
Precambrian,Archean,Meso-archean,,,,,2800,3200,
Precambrian,Archean,Paleo-archean,,,,,3200,3600,
Precambrian,Archean,Eo-archean,,,,,3600,4031,
Precambrian,Hadean,,,,,,4031,4567.3,
Precambrian,Hadean,Hadean,,,,,4000,4567.3,
