Title: MORB_Gale2013-2

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 quartz rhm-oxide_0 whitlockite 
5000.00 1573.15 100.148453 36.469187 36.469187 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.148609 36.456931 36.456931 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.148771 36.444680 36.444680 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.148939 36.432432 36.432432 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.149113 36.420188 36.420188 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.149292 36.407949 36.407949 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.149478 36.395714 36.395714 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.148881 36.239371 35.296560 0.000000 0.942811 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.148539 36.089070 34.247171 0.000000 1.841899 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.148402 35.944020 33.239197 0.000000 2.704823 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.148450 35.804298 32.272329 0.000000 3.531969 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.148671 35.669702 31.344586 0.000000 4.325116 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1513.15 100.149052 35.539958 30.453615 0.000000 5.086343 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1508.15 100.148270 35.353393 28.269412 0.000000 6.047515 0.000000 0.000000 1.036465 0.000000 0.000000 0.000000 
5000.00 1503.15 100.146854 35.156726 25.697076 0.000000 7.012839 0.000000 0.000000 2.446811 0.000000 0.000000 0.000000 
5000.00 1498.15 100.145406 34.977053 23.327979 0.000000 7.880344 0.000000 0.000000 3.768730 0.000000 0.000000 0.000000 
5000.00 1493.15 100.143999 34.813177 21.165112 0.000000 8.659342 0.000000 0.000000 4.988723 0.000000 0.000000 0.000000 
5000.00 1488.15 100.142729 34.662763 19.172664 0.000000 8.697485 0.667869 0.000000 6.124746 0.000000 0.000000 0.000000 
5000.00 1483.15 100.141582 34.524553 17.361095 0.000000 8.655199 1.351603 0.000000 7.156655 0.000000 0.000000 0.000000 
5000.00 1478.15 100.140540 34.396645 15.705923 0.000000 8.624520 1.970232 0.000000 8.095971 0.000000 0.000000 0.000000 
5000.00 1473.15 100.139592 34.277455 14.184077 0.000000 8.606153 2.532210 0.000000 8.955015 0.000000 0.000000 0.000000 
5000.00 1468.15 100.138726 34.165775 12.777719 0.000000 8.599366 3.045283 0.000000 9.743407 0.000000 0.000000 0.000000 
5000.00 1463.15 100.137927 34.060683 11.472793 0.000000 8.602572 3.516404 0.000000 10.468915 0.000000 0.000000 0.000000 
5000.00 1458.15 100.137176 33.961485 10.258139 0.000000 8.613708 3.951651 0.000000 11.137987 0.000000 0.000000 0.000000 
5000.00 1453.15 100.136445 33.867694 9.125050 0.000000 8.630462 4.356143 0.000000 11.756039 0.000000 0.000000 0.000000 
5000.00 1448.15 100.135695 33.779012 8.066997 0.000000 8.650366 4.733992 0.000000 12.327657 0.000000 0.000000 0.000000 
5000.00 1443.15 100.134872 33.695342 7.079561 0.000000 8.670832 5.088262 0.000000 12.856688 0.000000 0.000000 0.000000 
5000.00 1438.15 100.133907 33.616802 6.160702 0.000000 8.689161 5.420933 0.000000 13.346007 0.000000 0.000000 0.000000 
5000.00 1433.15 100.132686 33.542073 5.297023 0.000000 8.704326 5.739261 0.000000 13.797091 0.000000 0.000000 0.004372 
5000.00 1428.15 100.131172 33.471988 4.500983 0.000000 8.714203 6.043086 0.000000 14.200638 0.000000 0.000000 0.013077 
5000.00 1423.15 100.129464 33.409690 3.810522 0.000000 8.716773 6.322180 0.000000 14.539743 0.000000 0.000000 0.020472 
5000.00 1418.15 100.127724 33.355581 3.239903 0.000000 8.714747 6.574360 0.000000 14.799802 0.000000 0.000000 0.026768 
5000.00 1413.15 100.126064 33.309002 2.782831 0.000000 8.710679 6.799343 0.000000 14.983906 0.000000 0.000000 0.032243 
5000.00 1408.15 100.124459 33.268724 2.416987 0.000000 8.705120 6.998923 0.000000 15.110608 0.000000 0.000000 0.037087 
5000.00 1403.15 100.122834 33.233616 2.119944 0.000000 8.697724 7.175534 0.000000 15.199015 0.000000 0.000000 0.041400 
5000.00 1398.15 100.120926 33.195582 1.659069 0.000000 8.842024 7.189440 0.000000 15.369842 0.000000 0.080916 0.054291 
5000.00 1393.15 100.118791 33.167256 1.304541 0.000000 8.953718 7.178132 0.000000 15.517001 0.000000 0.149368 0.064496 
5000.00 1388.15 100.116600 33.145940 1.041172 0.000000 9.028690 7.165143 0.000000 15.637470 0.000000 0.201417 0.072047 
5000.00 1383.15 100.114438 33.129088 0.838116 0.000000 9.079466 7.152529 0.000000 15.738778 0.000000 0.242348 0.077851 
5000.00 1378.15 100.112356 33.115160 0.676826 0.000000 9.114003 7.141198 0.000000 15.825214 0.000000 0.275454 0.082465 
5000.00 1373.15 100.110394 33.103183 0.545912 0.000000 9.137599 7.131485 0.000000 15.899110 0.000000 0.302834 0.086243 
5000.00 1368.15 100.108050 33.092862 0.416928 0.009896 9.156817 7.108398 0.000000 15.978641 0.000000 0.331166 0.091016 
5000.00 1363.15 100.102989 33.086304 0.206797 0.071344 9.182346 7.007112 0.000000 16.132962 0.000000 0.382651 0.103092 
5000.00 1358.15 100.098937 33.081328 0.078457 0.096450 9.167878 6.968701 0.000000 16.252274 0.000000 0.409237 0.108332 
5000.00 1353.15 100.095858 33.076314 0.000000 0.105570 9.141961 6.960116 0.000000 16.335101 0.000000 0.422924 0.110642 
5000.00 1348.15 100.095074 33.069276 0.000000 0.107343 9.132152 6.970819 0.000000 16.326810 0.000000 0.421509 0.110642 
5000.00 1343.15 100.094287 33.062235 0.000000 0.109109 9.122750 6.981188 0.000000 16.318480 0.000000 0.420066 0.110642 
5000.00 1338.15 100.093498 33.055192 0.000000 0.110868 9.113729 6.991249 0.000000 16.310110 0.000000 0.418594 0.110642 
5000.00 1333.15 100.092707 33.048147 0.000000 0.112618 9.105065 7.001030 0.000000 16.301699 0.000000 0.417093 0.110642 
5000.00 1328.15 100.091913 33.041098 0.000000 0.114359 9.096736 7.010552 0.000000 16.293247 0.000000 0.415561 0.110642 
5000.00 1323.15 100.091117 33.034047 0.000000 0.116092 9.088724 7.019840 0.000000 16.284752 0.000000 0.413998 0.110642 
5000.00 1318.15 100.090319 33.026993 0.000000 0.117815 9.081008 7.028913 0.000000 16.276214 0.000000 0.412402 0.110642 
5000.00 1313.15 100.089519 33.019935 0.000000 0.119529 9.073571 7.037791 0.000000 16.267631 0.000000 0.410771 0.110642 
5000.00 1308.15 100.088716 33.012870 0.000000 0.121232 9.066398 7.046493 0.000000 16.259000 0.000000 0.409106 0.110642 
5000.00 1303.15 100.087911 33.005757 0.000000 0.122924 9.059473 7.055037 0.000000 16.250278 0.000000 0.407403 0.110642 
