index,element,charge,coordination,ionicradius,variant
K1+IX,K,1,9,1.63,
K1+X,K,1,10,1.67,
K1+XII,K,1,12,1.68,
La3+VI,La,3,6,1.13,
La3+VII,La,3,7,1.18,
La3+VIII,La,3,8,1.26,
La3+IX,La,3,9,1.28,
La3+X,La,3,10,1.36,
La3+XII,La,3,12,1.4,
Li1+IV,Li,1,4,0.68,
Li1+VI,Li,1,6,0.82,
Lu3+VI,Lu,3,6,0.94,
Lu3+VIII,Lu,3,8,1.05,
Mg2+IV,Mg,2,4,0.66,
Mg2+V,Mg,2,5,0.75,
Mg2+VI,Mg,2,6,0.8,
Mg2+VIII,Mg,2,8,0.97,
Mn2+VI,Mn,2,6,0.75,lowspin
Mn2+VI,Mn,2,6,0.91,highspin
Mn2+VIII,Mn,2,8,1.01,
Mn3+V,Mn,3,5,0.66,
Mn3+VI,Mn,3,6,0.66,lowspin
Mn3+VI,Mn,3,6,0.73,highspin
Mn4+VI,Mn,4,6,0.62,
Mn6+IV,Mn,6,4,0.35,
Mn7+IV,Mn,7,4,0.34,
Mo3+VI,Mo,3,6,0.75,
Mo4+VI,Mo,4,6,0.73,
Mo5+VI,Mo,5,6,0.71,
Mo6+IV,Mo,6,4,0.5,
Mo6+V,Mo,6,5,0.58,
Mo6+VI,Mo,6,6,0.68,
Mo6+VII,Mo,6,7,0.79,
Na1+IV,Na,1,4,1.07,
Na1+V,Na,1,5,1.08,
Na1+VI,Na,1,6,1.1,
Na1+VII,Na,1,7,1.21,
Na1+VIII,Na,1,8,1.24,
Na1+IX,Na,1,9,1.4,
Nb2+VI,Nb,2,6,0.79,
Nb3+VI,Nb,3,6,0.78,
Nb4+VI,Nb,4,6,0.77,
Nb5+IV,Nb,5,4,0.4,
Nb5+VI,Nb,5,6,0.72,
Nb5+VII,Nb,5,7,0.74,
Nd3+VI,Nd,3,6,1.06,
Nd3+VIII,Nd,3,8,1.2,
Nd3+IX,Nd,3,9,1.17,
Ni2+VI,Ni,2,6,0.77,
