Title: MORB_Gale2013-4

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 spinel_0 rhm-oxide_0 whitlockite 
5000.00 1323.15 100.116272 0.000000 1.438595 26.234804 23.283062 5.168639 43.085980 0.421728 0.103267 0.380197 
5000.00 1318.15 100.113044 0.000000 1.478597 25.059155 23.724522 6.379212 42.828804 0.262556 0.000000 0.380197 
5000.00 1313.15 100.111378 0.000000 1.517808 24.735147 23.835398 6.790872 42.696052 0.155903 0.000000 0.380197 
5000.00 1308.15 100.109622 0.000000 1.558656 24.445277 23.934553 7.169591 42.568071 0.053278 0.000000 0.380197 
5000.00 1303.15 100.108090 0.000000 1.586879 24.282145 23.965144 7.402540 42.491185 0.000000 0.000000 0.380197 
5000.00 1298.15 100.106897 0.000000 1.599108 24.239689 23.927551 7.491412 42.468938 0.000000 0.000000 0.380197 
5000.00 1293.15 100.105705 0.000000 1.611349 24.201239 23.890792 7.575380 42.446748 0.000000 0.000000 0.380197 
5000.00 1288.15 100.104515 0.000000 1.623595 24.166415 23.854860 7.654838 42.424609 0.000000 0.000000 0.380197 
5000.00 1283.15 100.103327 0.000000 1.635839 24.134881 23.819749 7.730140 42.402520 0.000000 0.000000 0.380197 
5000.00 1278.15 100.102141 0.000000 1.648076 24.106341 23.785454 7.801597 42.380475 0.000000 0.000000 0.380197 
5000.00 1273.15 100.100957 0.000000 1.660299 24.080530 23.751968 7.869491 42.358471 0.000000 0.000000 0.380197 
5000.00 1268.15 100.099776 0.000000 1.672501 24.057214 23.719288 7.934072 42.336502 0.000000 0.000000 0.380197 
5000.00 1263.15 100.098597 0.000000 1.684676 24.036183 23.687408 7.995569 42.314564 0.000000 0.000000 0.380197 
5000.00 1258.15 100.097422 0.000000 1.696816 24.017248 23.656323 8.054186 42.292652 0.000000 0.000000 0.380197 
5000.00 1253.15 100.096249 0.000000 1.708914 24.000241 23.626029 8.110109 42.270759 0.000000 0.000000 0.380197 
5000.00 1248.15 100.095080 0.000000 1.720963 23.985010 23.596524 8.163506 42.248879 0.000000 0.000000 0.380197 
5000.00 1243.15 100.093914 0.000000 1.732955 23.971419 23.567803 8.214532 42.227008 0.000000 0.000000 0.380197 
5000.00 1238.15 100.092752 0.000000 1.744883 23.959345 23.539862 8.263327 42.205137 0.000000 0.000000 0.380197 
5000.00 1233.15 100.091594 0.000000 1.756738 23.948676 23.512701 8.310020 42.183261 0.000000 0.000000 0.380197 
5000.00 1228.15 100.090439 0.000000 1.768512 23.939313 23.486316 8.354729 42.161372 0.000000 0.000000 0.380197 
5000.00 1223.15 100.089289 0.000000 1.780198 23.931165 23.460705 8.397562 42.139462 0.000000 0.000000 0.380197 
5000.00 1218.15 100.088143 0.000000 1.791786 23.924149 23.435867 8.438619 42.117525 0.000000 0.000000 0.380197 
5000.00 1213.15 100.087306 0.401141 1.766611 23.935999 23.430392 8.471476 42.081686 0.000000 0.000000 0.000000 
5000.00 1208.15 100.086159 0.400826 1.778607 23.930357 23.406695 8.509690 42.059985 0.000000 0.000000 0.000000 
5000.00 1203.15 100.085017 0.400519 1.790464 23.925679 23.383774 8.546356 42.038225 0.000000 0.000000 0.000000 
5000.00 1198.15 100.083880 0.400221 1.802175 23.921908 23.361628 8.581550 42.016397 0.000000 0.000000 0.000000 
5000.00 1193.15 100.082748 0.399932 1.813731 23.918991 23.340259 8.615344 41.994491 0.000000 0.000000 0.000000 
5000.00 1188.15 100.081622 0.399652 1.825122 23.916881 23.319666 8.647802 41.972499 0.000000 0.000000 0.000000 
