var,value,units,unc_2sigma,,constraint_value,constraint_comment
ModelName,Chondrite_SM89,,,,,
Reservoir,Chondrite,,,,,
ModelType,Calculation,,,,,
Reference,Sun & McDonough 1989,,,,,
Cs,0.188,ppm,,,,
Tl,0.14,ppm,,,,
Rb,2.32,ppm,,,,
Ba,2.41,ppm,,,,
W,0.095,ppm,,,,
Th,0.029,ppm,,,,
U,0.008,ppm,,,,
Nb,0.246,ppm,,,,
Ta,0.014,ppm,,,,
K,545,ppm,,,,
La,0.237,ppm,,,,
Ce,0.612,ppm,,,,
Pb,2.47,ppm,,,,
Pr,0.095,ppm,,,,
Mo,0.92,ppm,,,,
Sr,7.26,ppm,,,,
P,1220,ppm,,,,
Nd,0.467,ppm,,,,
F,60.7,ppm,,,,
Sm,0.153,ppm,,,,
Zr,3.87,ppm,,,,
Hf,0.1066,ppm,,,,
Eu,0.058,ppm,,,,
Sn,1.72,ppm,,,,
Sb,0.16,ppm,,,,
Ti,445,ppm,,,,
Gd,0.2055,ppm,,,,
Tb,0.0374,ppm,,,,
Dy,0.254,ppm,,,,
Li,1.57,ppm,,,,
Y,1.57,ppm,,,,
Ho,0.0566,ppm,,,,
Er,0.1655,ppm,,,,
Tm,0.0255,ppm,,,,
Yb,0.17,ppm,,,,
Lu,0.0254,ppm,,,,
