var,value,units,unc_2sigma,constraint_var,constraint_value,constraint_comment
ModelName,GLOSS2_P2014,,,,,
Reservoir,GLOSS,,,,,
ModelType,Calculation,,,,,
Reference,Plank2014,,,,,
SiO2,58.57,%,,,,
Al2O3,11.91,%,,,,
FeO,5.21,%,,,,
MnO,0.32,%,,,,
MgO,2.48,%,,,,
CaO,5.95,%,,,,
Na2O,2.43,%,,,,
Cr2O3,,,,,,
TiO2,0.62,%,,,,
NiO,,,,,,
K2O,2.04,%,,,,
P2O5,0.19,%,,,,
H,,,,,,
Li,,,,,,
Be,,,,,,
B,,,,,,
C,,,,,,
N,,,,,,
O,,,,,,
F,,,,,,
Na,,,,,,
Mg,,,,,,
Al,,,,,,
Si,,,,,,
P,,,,,,
S,,,,,,
Cl,,,,,,
K,,,,,,
Ca,,,,,,
Sc,13.1,ppm,,,,
Ti,,,,,,
V,110,ppm,,,,
Cr,78.9,ppm,,,,
Mn,,,,,,
Fe,,,,,,
Co,21.9,ppm,,,,
Ni,70.5,ppm,,,,
Cu,75,ppm,,,,
Zn,86.4,ppm,,,,
Ga,,,,,,
Ge,,,,,,
As,,,,,,
Se,,,,,,
Br,,,,,,
Rb,57.2,ppm,,,,
Sr,327,ppm,,,,
Y,29.8,ppm,,,,
Zr,130,ppm,,,,
Nb,8.94,ppm,,,,
Mo,,,,,,
Ru,,,,,,
Rh,,,,,,
Pd,,,,,,
Ag,,,,,,
Cd,,,,,,
In,,,,,,
Sn,,,,,,
Sb,,,,,,
Te,,,,,,
I,,,,,,
Cs,3.48,ppm,,,,
Ba,776,ppm,,,,
La,28.8,ppm,,,,
Ce,57.3,ppm,,,,
Pr,0,ppm,,,,
Nd,27,ppm,,,,
Sm,,,,,,
Eu,,,,,,
Gd,,,,,,
Tb,,,,,,
Dy,,,,,,
Ho,,,,,,
Er,,,,,,
Tm,,,,,,
Yb,,,,,,
Lu,,,,,,
Hf,4.06,ppm,,,,
Ta,0.63,ppm,,,,
W,,,,,,
Re,,,,,,
Os,,,,,,
Ir,,,,,,
Pt,,,,,,
Au,,,,,,
Hg,,,,,,
Tl,,,,,,
Pb,,,,,,
Bi,,,,,,
Th,,,,,,
U,,,,,,
