var,value,units,unc_2sigma
ModelName,DMM_WH2005,,
Reservoir,DepletedMORBMantle,,
ModelType,,,
Reference,Workman & Hart (2005),,
Citation,"Workman, R.K., Hart, S.R., 2005. Major and trace element composition of the depleted MORB mantle (DMM). Earth and Planetary Science Letters 231, 53-72.",,
DOI,10.1016/j.epsl.2004.12.005,,
Description,,,
SiO2,44.71,,
Al2O3,3.98,,
FeO,8.18,,
MnO,0.13,,
MgO,38.73,,
CaO,3.17,,
Na2O,0.13,,
Cr2O3,0.57,,
TiO2,0.13,,
NiO,0.24,,
K2O,0.006,,
P2O5,0.019,,
H,,,
Li,,,
Be,,,
B,,,
C,,,
N,,,
O,,,
F,,,
Na,,,
Mg,,,
Al,,,
Si,,,
P,,,
S,,,
Cl,,,
K,50.8,,
Ca,,,
Sc,,,
Ti,716.3,,
V,,,
Cr,,,
Mn,,,
Fe,,,
Co,,,
Ni,,,
Cu,,,
Zn,,,
Ga,,,
Ge,,,
As,,,
Se,,,
Br,,,
Rb,0.05,,
Sr,7.664,,
Y,3.328,,
Zr,5.082,,
Nb,0.1485,,
Mo,,,
Ru,,,
Rh,,,
Pd,,,
Ag,,,
Cd,,,
In,,,
Sn,,,
Sb,,,
Te,,,
I,,,
Cs,,,
Ba,0.563,,
La,0.192,,
Ce,0.55,,
Pr,0.107,,
Nd,0.581,,
Sm,0.239,,
Eu,0.096,,
Gd,0.358,,
Tb,0.07,,
Dy,0.505,,
Ho,0.115,,
Er,0.348,,
Tm,,,
Yb,0.365,,
Lu,0.058,,
Hf,0.157,,
Ta,0.0096,,
W,,,
Re,,,
Os,,,
Ir,,,
Pt,,,
Au,,,
Hg,,,
Tl,,,
Pb,0.018,,
Bi,,,
Th,0.0079,,
U,0.0032,,
87Sr/86Sr,0.70263,,
143Nd/144Nd,0.51313,,
176Hf/177Hf,0.28326,,
206Pb/204Pb,18.275,,
207Pb/204Pb,15.486,,
Rb/Sr,0.0065,,
Sm/Nd,0.411,,
Lu/Hf,0.369,,
U/Pb,0.172,,
Th/U,2.5,,
