var,value,units,unc_2sigma
ModelName,MUQ_Kamber2005,,
Reservoir,MudFromQueensland,,
ModelType,Average,,
Reference,Kamber et al. (2005),,
Citation,"Kamber, B.S., Greig, A., Collerson, K.D. (2005). A new estimate for the composition of weathered young upper continental crust from alluvial sediments, Queensland, Australia. Geochimica et Cosmochimica Acta 69, 1041-1058.",,
DOI,10.1016/j.gca.2004.08.020,,
Description,,,
SiO2,67.53,%,
Al2O3,17.31,%,
FeO,7.77,%,
MnO,0.14,%,
MgO,1.57,%,
CaO,1.1,%,
Na2O,0.8,%,
Cr2O3,,,
TiO2,1.36,%,
NiO,,,
K2O,1.54,%,
P2O5,0.18,%,
H,,,
Li,28.24,ppm,
Be,1.92,ppm,
B,,,
C,,,
N,,,
O,,,
F,,,
Na,,,
Mg,,,
Al,,,
Si,,,
P,,,
S,,,
Cl,,,
K,,,
Ca,,,
Sc,16.49,ppm,
Ti,,,
V,120,ppm,
Cr,64.5,ppm,
Mn,,,
Fe,,,
Co,22.39,ppm,
Ni,31.57,ppm,
Cu,32.36,ppm,
Zn,73.47,ppm,
Ga,19.12,ppm,
Ge,,,
As,,,
Se,,,
Br,,,
Rb,79.51,ppm,
Sr,142,ppm,
Y,31.85,ppm,
Zr,199,ppm,
Nb,15.33,ppm,
Mo,,,
Ru,,,
Rh,,,
Pd,,,
Ag,,,
Cd,,,
In,,,
Sn,2.77,ppm,
Sb,,,
Te,,,
I,,,
Cs,5.38,ppm,
Ba,396,ppm,
La,32.51,ppm,
Ce,71.09,ppm,
Pr,8.46,ppm,
Nd,32.91,ppm,
Sm,6.88,ppm,
Eu,1.57,ppm,
Gd,6.36,ppm,
Tb,0.99,ppm,
Dy,5.89,ppm,
Ho,1.22,ppm,
Er,3.37,ppm,
Tm,0.51,ppm,
Yb,3.25,ppm,
Lu,0.49,ppm,
Hf,5.32,ppm,
Ta,1.12,ppm,
W,1.6,ppm,
Re,,,
Os,,,
Ir,,,
Pt,,,
Au,,,
Hg,,,
Tl,0.42,ppm,
Pb,20.44,ppm,
Bi,,,
Th,11.13,ppm,
U,2.83,ppm,
