var,value,units,unc_2sigma,constraint_var,constraint_value,constraint_comment
ModelName,LCC_McLennan2001,,,,,
Reservoir,LowerContinentalCrust,,,,,
ModelType,Calculation,,,,,
Reference,McLennan (2001),,,,,
Citation,"McLennan, S.M. (2001). Relationships between the trace element composition of sedimentary rocks and upper continental crust. Geochemistry, Geophysics, Geosystems 2.",,,,,
DOI,10.1029/2000GC000109,,,,,
Description,,,,,,
SiO2,,,,,,
Al2O3,,,,,,
FeO,,,,,,
MnO,,,,,,
MgO,,,,,,
CaO,,,,,,
Na2O,,,,,,
Cr2O3,,,,,,
TiO2,,,,,,
NiO,,,,,,
K2O,,,,,,
P2O5,,,,,,
H,,,,,,
Li,11,ppm,,,,
Be,1,ppm,,,,
B,8.3,ppm,,,,
C,,,,,,
N,,,,,,
O,,,,,,
F,,,,,,
Na,2.08,%,,,,
Mg,3.8,%,,,,
Al,8.52,%,,,,
Si,25.4,%,,,,
P,,,,,,
S,,,,,,
Cl,,,,,,
K,0.53,%,,,,
Ca,6.07,%,,,,
Sc,35,ppm,,,,
Ti,0.58,%,,,,
V,271,ppm,,,,
Cr,219,ppm,,,,
Mn,1700,ppm,,,,
Fe,8.24,%,,,,
Co,33,ppm,,,,
Ni,156,ppm,,,,
Cu,90,ppm,,,,
Zn,83,ppm,,,,
Ga,18,ppm,,,,
Ge,1.6,ppm,,,,
As,0.8,ppm,,,,
Se,50,ppm,,,,
Br,,,,,,
Rb,12,ppm,,,,
Sr,230,ppm,,,,
Y,19,ppm,,,,
Zr,70,ppm,,,,
Nb,6.7,ppm,,,,
Mo,0.8,ppm,,,,
Ru,,,,,,
Rh,,,,,,
Pd,1,ppb,,,,
Ag,90,ppb,,,,
Cd,98,ppb,,,,
In,50,ppb,,,,
Sn,1.5,ppm,,,,
Sb,0.2,ppm,,,,
Te,,,,,,
I,,,,,,
Cs,0.47,ppm,,,,
Ba,150,ppm,,,,
La,11,ppm,,,,
Ce,23,ppm,,,,
Pr,2.8,ppm,,,,
Nd,12.7,ppm,,,,
Sm,3.17,ppm,,,,
Eu,1.17,ppm,,,,
Gd,3.13,ppm,,,,
Tb,0.59,ppm,,,,
Dy,3.6,ppm,,,,
Ho,0.77,ppm,,,,
Er,2.2,ppm,,,,
Tm,0.32,ppm,,,,
Yb,2.2,ppm,,,,
Lu,0.29,ppm,,,,
Hf,2.1,ppm,,,,
Ta,0.73,ppm,,,,
W,0.7,ppm,,,,
Re,0.4,ppb,,,,
Os,0.05,ppb,,,,
Ir,0.13,ppb,,,,
Pt,,,,,,
Au,3.4,ppb,,,,
Hg,,,,,,
Tl,230,ppb,,,,
Pb,5,ppm,,,,
Bi,38,ppb,,,,
Th,2,ppm,,,,
U,0.53,ppm,,,,
