var,value,units,unc_2sigma,constraint_var,constraint_value,constraint_comment
ModelName,UCC_RG2003,,,,,
Reservoir,UpperContinentalCrust,,,,,
ModelType,Calculation,,,,,
Reference,Rudnick & Gao 2003,,,,,
SiO2,66.6,%,2.36,,,
Al2O3,15.4,%,1.5,,,
FeO,5.04,%,1.06,,,
MnO,0.1,%,0.02,,,
MgO,2.48,%,0.7,,,
CaO,3.59,%,0.4,,,
Na2O,3.27,%,0.96,,,
Cr2O3,,,,,,
TiO2,0.64,%,0.16,,,
NiO,,,,,,
K2O,2.8,%,0.46,,,
P2O5,0.15,%,0.04,,,
H,,,,,,
Li,24,ppm,10,,,
Be,2.1,ppm,1.8,,,
B,17,ppm,16,,,
C,,,,,,
N,83,ppm,,,,
O,,,,,,
F,557,ppm,112,,,
Na,,,,,,
Mg,,,,,,
Al,,,,,,
Si,,,,,,
P,,,,,,
S,62,ppm,66,,,
Cl,370,ppm,764,,,
K,,,,,,
Ca,,,,,,
Sc,14,ppm,1.8,,,
Ti,,,,,,
V,97,ppm,22,,,
Cr,92,ppm,34,,,
Mn,,,,,,
Fe,,,,,,
Co,17.3,ppm,1.2,,,
Ni,47,ppm,22,,,
Cu,28,ppm,8,,,
Zn,67,ppm,12,,,
Ga,17.5,ppm,1.4,,,
Ge,1.4,ppm,0.2,,,
As,4.8,ppm,1,,,
Se,0.09,ppm,0.1,,,
Br,1.6,ppm,,,,
Rb,84,ppm,34,,,
Sr,320,ppm,92,,,
Y,21,ppm,4,,,
Zr,193,ppm,56,,,
Nb,12,ppm,2,,,
Mo,1.1,ppm,0.6,,,
Ru,0.34,ppb,0.04,,,
Rh,,,,,,
Pd,0.52,ppb,0.04,,,
Ag,53,ppb,6,,,
Cd,0.09,ppm,0.02,,,
In,0.056,ppm,0.016,,,
Sn,2.1,ppm,1,,,
Sb,0.4,ppm,0.2,,,
Te,,,,,,
I,1.4,ppm,1.4,,,
Cs,4.9,ppm,3,,,
Ba,628,ppm,166,,,
La,31,ppm,6,,,
Ce,63,ppm,8,,,
Pr,7.1,ppm,,,,
Nd,27,ppm,4,,,
Sm,4.7,ppm,0.6,,,
Eu,1,ppm,0.2,,,
Gd,4,ppm,0.6,,,
Tb,0.7,ppm,0.2,,,
Dy,3.9,ppm,,,,
Ho,0.83,ppm,,,,
Er,2.3,ppm,,,,
Tm,0.3,ppm,,,,
Yb,1.96,ppm,0.8,,,
Lu,0.31,ppm,0.1,,,
Hf,5.3,ppm,1.4,,,
Ta,0.9,ppm,0.2,,,
W,1.9,ppm,2,,,
Re,0.198,ppb,,,,
Os,0.031,ppb,0.018,,,
Ir,0.022,ppb,0.014,,,
Pt,0.5,ppb,1,,,
Au,1.5,ppb,0.8,,,
Hg,0.05,ppm,0.08,,,
Tl,0.9,ppm,1,,,
Pb,17,ppm,1,,,
Bi,0.16,ppm,0.12,,,
Th,10.5,ppm,2,,,
U,2.7,ppm,1.2,,,
