var,value,units,unc_2sigma,constraint_var,constraint_value,constraint_comment,constraint_value
ModelName,EMORB_Gale2013,,,,,,
Reservoir,EMORB,,,,,,
ModelType,Average,,,,,,
Reference,Gale et al. (2013),,,,,,
Citation,"Gale, A., Dalton, C.A., Langmuir, C.H., Su, Y., Schilling, J. (2013). The mean composition of ocean ridge basalts. Geochemistry, Geophysics, Geosystems 14, 489-518.",,,,,,
DOI,10.1029/2012GC004334,,,,,,
Description,,,,,,,
SiO2,50.58,%,0.33,,,,
Al2O3,14.94,%,0.38,,,,
FeO,9.64,%,0.48,,,,
MnO,0.165,%,0.013,,,,
MgO,7.37,%,0.27,,,,
CaO,11.18,%,0.27,,,,
Na2O,2.72,%,0.18,,,,
Cr2O3,,,,,,,
TiO2,1.53,%,0.11,,,,
NiO,,,,,,,
K2O,0.394,%,0.075,,,,
P2O5,0.244,%,0.051,,,,
H,,,,,,,
Li,5.3,ppm,0.6,,,,
Be,0.56,ppm,0.23,,,,
B,,,,,,,
C,,,,,,,
N,,,,,,,
O,,,,,,,
F,,,,,,,
Na,,,,,,,
Mg,,,,,,,
Al,,,,,,,
Si,,,,,,,
P,,,,,,,
S,,,,,,,
Cl,,,,,,,
K,,,,,,,
Ca,,,,,,,
Sc,35.7,ppm,1.2,,,,
Ti,,,,,,,
V,265,ppm,10,,,,
Cr,216,ppm,33,,,,
Mn,,,,,,,
Fe,,,,,,,
Co,41.7,ppm,1.6,,,,
Ni,97,ppm,10,,,,
Cu,74,ppm,8,,,,
Zn,82.4,ppm,6.1,,,,
Ga,17.3,ppm,0.7,,,,
Ge,,,,,,,
As,,,,,,,
Se,,,,,,,
Br,,,,,,,
Rb,10.56,ppm,1.47,,,,
Sr,207,ppm,22,,,,
Y,0.31,ppm,0.07,,,,
Zr,82.4,ppm,6.1,,,,
Nb,17.07,ppm,2.83,,,,
Mo,0.76,ppm,0.21,,,,
Ru,,,,,,,
Rh,,,,,,,
Pd,,,,,,,
Ag,,,,,,,
Cd,,,,,,,
In,,,,,,,
Sn,0.87,ppm,0.14,,,,
Sb,,,,,,,
Te,,,,,,,
I,,,,,,,
Cs,0.124,ppm,0.024,,,,
Ba,125.5,ppm,18.8,,,,
La,12.02,ppm,1.66,,,,
Ce,25.52,ppm,3.73,,,,
Pr,3.28,ppm,0.42,,,,
Nd,14.86,ppm,1.33,,,,
Sm,3.72,ppm,0.28,,,,
Eu,1.29,ppm,0.08,,,,
Gd,4.26,ppm,0.26,,,,
Tb,0.73,ppm,0.04,,,,
Dy,4.62,ppm,0.21,,,,
Ho,0.96,ppm,0.05,,,,
Er,2.75,ppm,0.12,,,,
Tm,0.41,,0,,,,
Yb,2.59,ppm,0.1,,,,
Lu,0.38,ppm,0.02,,,,
Hf,2.54,ppm,0.26,,,,
Ta,1.09,ppm,0.18,,,,
W,0.31,ppm,0.07,,,,
Re,,,,,,,
Os,,,,,,,
Ir,,,,,,,
Pt,,,,,,,
Au,,,,,,,
Hg,,,,,,,
Tl,0.031,ppm,0.005,,,,
Pb,0.98,ppm,0.14,,,,
Bi,,,,,,,
Th,1.367,ppm,0.232,,,,
U,0.386,ppm,,,,,
