var,value,units,unc_2sigma
ModelName,EMORB_SM89,,
Reservoir,EMORB,,
ModelType,Calculation,,
Reference,Sun & McDonough (1989),,
Citation,"Sun, S. -s, McDonough, W.F. (1989). Chemical and isotopic systematics of oceanic basalts: implications for mantle composition and processes. Geological Society, London, Special Publications 42, 313-345.",,
DOI,10.1144/GSL.SP.1989.042.01.19,,
Description,,,
Cs,0.063,ppm,
Tl,0.013,ppm,
Rb,5.04,ppm,
Ba,57,ppm,
W,0.092,ppm,
Th,0.6,ppm,
U,0.18,ppm,
Nb,8.3,ppm,
Ta,0.47,ppm,
K,2100,ppm,
La,6.3,ppm,
Ce,15,ppm,
Pb,0.6,ppm,
Pr,2.05,ppm,
Mo,0.47,ppm,
Sr,155,ppm,
P,620,ppm,
Nd,9,ppm,
F,250,ppm,
Sm,2.6,ppm,
Zr,73,ppm,
Hf,2.03,ppm,
Eu,0.91,ppm,
Sn,0.8,ppm,
Sb,0.01,ppm,
Ti,6000,ppm,
Gd,2.97,ppm,
Tb,0.53,ppm,
Dy,3.55,ppm,
Li,3.5,ppm,
Y,22,ppm,
Ho,0.79,ppm,
Er,2.31,ppm,
Tm,0.356,ppm,
Yb,2.37,ppm,
Lu,0.354,ppm,
