var,value,units,unc_2sigma,constraint_var,constraint_value,constraint_comment
ModelName,BCC_RG2003,,,,,
Reservoir,BulkContinentalCrust,,,,,
ModelType,Calculation,,,,,
Reference,Rudnick & Gao 2003,,,,,
SiO2,60.6,%,,,,
Al2O3,15.9,%,,,,
FeO,6.7,%,,,,
MnO,0.1,%,,,,
MgO,4.7,%,,,,
CaO,6.4,%,,,,
Na2O,3.1,%,,,,
Cr2O3,,,,,,
TiO2,0.7,%,,,,
NiO,,,,,,
K2O,1.8,%,,,,
P2O5,0.1,%,,,,
H,,,,,,
Li,16,ppm,,,,
Be,1.9,ppm,,,,
B,11,ppm,,,,
C,,,,,,
N,,,,,,
O,,,,,,
F,553,ppm,,,,
Na,56,ppm,,,,
Mg,,,,,,
Al,,,,,,
Si,,,,,,
P,,,,,,
S,404,ppm,,,,
Cl,244,ppm,,,,
K,,,,,,
Ca,,,,,,
Sc,21.9,ppm,,,,
Ti,,,,,,
V,138,ppm,,,,
Cr,135,ppm,,,,
Mn,,,,,,
Fe,,,,,,
Co,26.6,ppm,,,,
Ni,59,ppm,,,,
Cu,27,ppm,,,,
Zn,72,ppm,,,,
Ga,16,ppm,,,,
Ge,1.3,ppm,,,,
As,2.5,ppm,,,,
Se,0.13,ppm,,,,
Br,,,,,,
Rb,49,ppm,,,,
Sr,320,ppm,,,,
Y,19,ppm,,,,
Zr,132,ppm,,,,
Nb,8,ppm,,,,
Mo,0.8,ppm,,,,
Ru,0.6,ppb,,,,
Rh,,,,,,
Pd,1.5,ppb,,,,
Ag,56,ppb,,,,
Cd,0.08,ppm,,,,
In,0.052,ppm,,,,
Sn,1.7,ppm,,,,
Sb,0.2,ppm,,,,
Te,,,,,,
I,,,,,,
Cs,2,ppm,,,,
Ba,456,ppm,,,,
La,20,ppm,,,,
Ce,43,ppm,,,,
Pr,4.9,ppm,,,,
Nd,20,ppm,,,,
Sm,3.9,ppm,,,,
Eu,1.1,ppm,,,,
Gd,3.7,ppm,,,,
Tb,0.6,ppm,,,,
Dy,3.6,ppm,,,,
Ho,0.77,ppm,,,,
Er,2.1,ppm,,,,
Tm,0.28,ppm,,,,
Yb,1.9,ppm,,,,
Lu,0.3,ppm,,,,
Hf,3.7,ppm,,,,
Ta,0.7,ppm,,,,
W,1,ppm,,,,
Re,0.188,ppb,,,,
Os,0.041,ppb,,,,
Ir,0.037,ppb,,,,
Pt,1.5,ppb,,,,
Au,1.3,ppb,,,,
Hg,0.03,ppm,,,,
Tl,0.5,ppm,,,,
Pb,11,ppm,,,,
Bi,0.18,ppm,,,,
Th,5.6,ppm,,,,
U,1.3,ppm,,,,
