var,value,units,unc_2sigma,constraint_var,constraint_value,constraint_comment
ModelName,Chondrite_MS95,,,,,
Reservoir,Chondrite,,,,,
ModelType,Calculation,,,,,
Reference,McDonough & Sun (1995),,,,,
Citation,"McDonough, W.F., Sun, S. -s., 1995. The composition of the Earth. Chemical Geology, Chemical Evolution of the Mantle 120, 223-253.",,,,,
DOI,10.1016/0009-2541(94)00140-4,,,,,
Description,,,,,,
SiO2,,,,,,
Al2O3,,,,,,
FeO,,,,,,
MnO,,,,,,
MgO,,,,,,
CaO,,,,,,
Na2O,,,,,,
Cr2O3,,,,,,
TiO2,,,,,,
NiO,,,,,,
K2O,,,,,,
P2O5,,,,,,
H,,,,,,
Li,1.5,ppm,,,,30%
Be,0.025,ppm,,,,20%
B,0.9,ppm,,,,F2
C,3.5,%,,,,F2
N,3.18,ppm,,,,F2
O,,,,,,
F,60,ppm,,,,F2
Na,5100,ppm,,,,15%
Mg,9.65,%,,,,10%
Al,0.86,%,,,,10%
Si,10.65,%,,,,10%
P,1.08,ppm,,,,15%
S,5.4,%,,,,20%
Cl,680,ppm,,,,F2
K,550,ppm,,,,20%
Ca,0.925,%,,,,10%
Sc,5.92,ppm,,,,10%
Ti,440,ppm,,,,10%
V,56,ppm,,,,15%
Cr,2650,ppm,,,,15%
Mn,1920,ppm,,,,10%
Fe,18.1,%,,,,10%
Co,500,ppm,,,,10%
Ni,10500,ppm,,,,10%
Cu,120,ppm,,,,15%
Zn,310,ppm,,,,15%
Ga,9.2,ppm,,,,10%
Ge,31,ppm,,,,15%
As,1.85,ppm,,,,F2
Se,21,ppm,,,,70%
Br,3.57,ppm,,,,F2
Rb,2.3,ppm,,,,30%
Sr,7.25,ppm,,,,10
Y,1.57,ppm,,,,10%
Zr,3.82,ppm,,,,10
Nb,240,ppb,,,,15%
Mo,900,ppb,,,,40
Ru,710,ppb,,,,30%
Rh,130,ppb,,,,40
Pd,550,ppb,,,,80%
Ag,200,ppb,,,,F3
Cd,710,ppb,,,,30%
In,80,ppb,,,,40%
Sn,1650,ppb,,,,30%
Sb,140,ppb,,,,50%
Te,2330,ppb,,,,F2
I,450,ppb,,,,F3
Cs,190,ppb,,,,40%
Ba,2410,ppb,,,,10%
La,237,ppb,,,,10%
Ce,613,ppb,,,,10%
Pr,92.8,ppb,,,,10%
Nd,457,ppb,,,,10%
Sm,148,ppb,,,,10%
Eu,56.3,ppb,,,,10%
Gd,199,ppb,,,,10%
Tb,36.1,ppb,,,,10%
Dy,246,ppb,,,,10%
Ho,54.6,ppb,,,,10%
Er,160,ppb,,,,10%
Tm,24.7,ppb,,,,10%
Yb,161,ppb,,,,10%
Lu,24.6,ppb,,,,10%
Hf,103,ppb,,,,10%
Ta,13.6,ppb,,,,15%
W,93,ppb,,,,F2
Re,40,ppb,,,,30%
Os,490,ppb,,,,30%
Ir,455,ppb,,,,30%
Pt,1010,ppb,,,,30%
Au,140,ppb,,,,F2
Hg,300,ppb,,,,F4
Tl,140,ppb,,,,40%
Pb,2470,ppb,,,,20%
Bi,110,ppb,,,,30%
Th,29,ppb,,,,15%
U,7.4,ppb,,,,20%
