var,value,units,unc_2sigma,constraint_var,constraint_value,constraint_comment
ModelName,Pyrolite_MS95,,,,,
Reservoir,BSE,,,,,
ModelType,Calculation,,,,,
Reference,McDonough & Sun (1995),,,,,
Citation,"McDonough, W.F., Sun, S. -s., 1995. The composition of the Earth. Chemical Geology, Chemical Evolution of the Mantle 120, 223-253.",,,,,
DOI,10.1016/0009-2541(94)00140-4,,,,,
Description,,,,,,
SiO2,,,,,,
Al2O3,,,,,,
FeO,,,,,,
MnO,,,,,,
MgO,,,,,,
CaO,,,,,,
Na2O,,,,,,
Cr2O3,,,,,,
TiO2,,,,,,
NiO,,,,,,
K2O,,,,,,
P2O5,,,,,,
H,,,,,,
Li,1.6,ppm,,,,30%
Be,0.068,ppm,,,,20%
B,0.3,ppm,,,,F2
C,120,ppm,,,,F2
N,2,ppm,,,,F2
O,,,,,,
F,25,ppm,,,,F2
Na,2670,ppm,,,,15%
Mg,22.8,%,,,,10%
Al,2.35,%,,,,10%
Si,21,%,,,,10%
P,90,ppm,,,,15%
S,250,ppm,,,,20%
Cl,17,ppm,,,,F2
K,240,ppm,,,,20%
Ca,2.53,%,,,,10%
Sc,16.2,ppm,,,,10%
Ti,1205,ppm,,,,10%
V,82,ppm,,,,15%
Cr,2625,ppm,,,,15%
Mn,1045,ppm,,,,10%
Fe,6.26,%,,,,10%
Co,105,ppm,,,,10%
Ni,1960,ppm,,,,10%
Cu,30,ppm,,,,15%
Zn,55,ppm,,,,15%
Ga,4,ppm,,,,10%
Ge,1.1,ppm,,,,15%
As,0.05,ppm,,,,F2
Se,0.075,ppm,,,,70%
Br,0.05,ppm,,,,F2
Rb,0.6,ppm,,,,30%
Sr,19.9,ppm,,,,10
Y,4.3,ppm,,,,10%
Zr,10.5,ppm,,,,10
Nb,658,ppb,,,,15%
Mo,50,ppb,,,,40
Ru,5,ppb,,,,30%
Rh,0.9,ppb,,,,40
Pd,3.9,ppb,,,,80%
Ag,8,ppb,,,,F3
Cd,40,ppb,,,,30%
In,11,ppb,,,,40%
Sn,130,ppb,,,,30%
Sb,5.5,ppb,,,,50%
Te,12,ppb,,,,F2
I,10,ppb,,,,F3
Cs,21,ppb,,,,40%
Ba,6600,ppb,,,,10%
La,648,ppb,,,,10%
Ce,1675,ppb,,,,10%
Pr,254,ppb,,,,10%
Nd,1250,ppb,,,,10%
Sm,406,ppb,,,,10%
Eu,154,ppb,,,,10%
Gd,544,ppb,,,,10%
Tb,99,ppb,,,,10%
Dy,674,ppb,,,,10%
Ho,149,ppb,,,,10%
Er,438,ppb,,,,10%
Tm,68,ppb,,,,10%
Yb,441,ppb,,,,10%
Lu,67.5,ppb,,,,10%
Hf,283,ppb,,,,10%
Ta,37,ppb,,,,15%
W,29,ppb,,,,F2
Re,0.28,ppb,,,,30%
Os,3.4,ppb,,,,30%
Ir,3.2,ppb,,,,30%
Pt,7.1,ppb,,,,30%
Au,1,ppb,,,,F2
Hg,10,ppb,,,,F4
Tl,3.5,ppb,,,,40%
Pb,150,ppb,,,,20%
Bi,2.5,ppb,,,,30%
Th,79.5,ppb,,,,15%
U,20.3,ppb,,,,20%
