var,value,units,unc_2sigma
ModelName,NASC_Gromet1984,,
Reservoir,NorthAmericanShaleComposite,,
ModelType,Average,,
Reference,Gromet et al. (1984); Taylor and McLennan (1985); Condie (1993); McLennan (2001),,
Citation,"Gromet, L.P., Haskin, L.A., Korotev, R.L., Dymek, R.F. (1984). The -North American shale composite-: Its compilation, major and trace element characteristics. Geochimica et Cosmochimica Acta 48, 2469-2482. ",,
DOI,10.1016/0016-7037(84)90298-9,,
Description,,,
SiO2,64.8,%,
Al2O3,16.9,%,
FeO,5.66,%,
MnO,0.06,%,
MgO,2.86,%,
CaO,3.63,%,
Na2O,1.14,%,
Cr2O3,,,
TiO2,0.7,%,
NiO,,,
K2O,3.97,%,
P2O5,0.13,%,
H,,,
Li,,,
Be,,,
B,,,
C,,,
N,,,
O,,,
F,,,
Na,,,
Mg,,,
Al,,,
Si,,,
P,,,
S,,,
Cl,,,
K,,,
Ca,,,
Sc,15,ppm,
Ti,,,
V,130,ppm,
Cr,127,ppm,
Mn,,,
Fe,,,
Co,26,ppm,
Ni,58,ppm,
Cu,,,
Zn,,,
Ga,,,
Ge,,,
As,28.4,ppm,
Se,,,
Br,0.69,ppm,
Rb,125,ppm,
Sr,142,ppm,
Y,35,ppm,
Zr,200,ppm,
Nb,13,ppm,
Mo,,,
Ru,,,
Rh,,,
Pd,,,
Ag,,,
Cd,,,
In,,,
Sn,,,
Sb,2.09,ppm,
Te,,,
I,,,
Cs,5.2,ppm,
Ba,636,ppm,
La,32,ppm,
Ce,67,ppm,
Pr,7.9,ppm,
Nd,27.4,ppm,
Sm,5.6,ppm,
Eu,1.2,ppm,
Gd,5.2,ppm,
Tb,0.85,ppm,
Dy,5.8,ppm,
Ho,1.04,ppm,
Er,3.4,ppm,
Tm,0.5,ppm,
Yb,3.1,ppm,
Lu,0.46,ppm,
Hf,6.3,ppm,
Ta,1.12,ppm,
W,2.1,ppm,
Re,,,
Os,,,
Ir,,,
Pt,,,
Au,,,
Hg,,,
Tl,,,
Pb,20,ppm,
Bi,,,
Th,12.3,ppm,
U,2.7,ppm,
