var,value,units,unc_2sigma,constraint_var,constraint_value,constraint_comment
ModelName,GLOSS2_P2014,,,,,
Reservoir,GLOSS,,,,,
ModelType,Calculation,,,,,
Reference,Plank (2014),,,,,
Citation,"Plank, T. (2014). The Chemical Composition of Subducting Sediments. Treatise on Geochemistry (Second Edition) 607-629.",,,,,
DOI,10.1016/B978-0-08-095975-7.00319-3,,,,,
Description,,,,,,
SiO2,56.6,%,6,,,
Al2O3,12.51,%,1.38,,,
FeO,5.67,%,0.66,,,
MnO,0.43,%,0.06,,,
MgO,2.75,%,0.32,,,
CaO,6.22,%,0.66,,,
Na2O,2.5,%,0.24,,,
Cr2O3,,,,,,
TiO2,0.64,%,0.08,,,
NiO,,,,,,
K2O,2.21,%,0.28,,,
P2O5,0.2,%,0.02,,,
H2O,7.09,%,0.7,,,
CO2,3.07,%,0.46,,,
H,,,,,,
Li,16,ppm,5.6,,,
Be,1.9,ppm,0.26,,,
B,11,ppm,8,,,
C,,,,,,
N,,,,,,
O,,,,,,
F,,,,,,
Na,,,,,,
Mg,,,,,,
Al,,,,,,
Si,,,,,,
P,,,,,,
S,,,,,,
Cl,,,,,,
K,,,,,,
Ca,,,,,,
Sc,56,ppm,1.66,,,
Ti,,,,,,
V,553,ppm,12.6,,,
Cr,404,ppm,7.4,,,
Mn,,,,,,
Fe,,,,,,
Co,244,ppm,2.6,,,
Ni,21.9,ppm,9.2,,,
Cu,138,ppm,11.8,,,
Zn,135,ppm,10.4,,,
Ga,,,,,,
Ge,,,,,,
As,,,,,,
Se,,,,,,
Br,,,,,,
Rb,26.6,ppm,11.4,,,
Sr,27,ppm,34.4,,,
Y,16,ppm,4,,,
Zr,1.3,ppm,15.2,,,
Nb,0.13,ppm,1.28,,,
Mo,,,,,,
Ru,,,,,,
Rh,,,,,,
Pd,,,,,,
Ag,,,,,,
Cd,,,,,,
In,,,,,,
Sn,,,,,,
Sb,,,,,,
Te,,,,,,
I,,,,,,
Cs,59,ppm,0.66,,,
Ba,72,ppm,78,,,
La,49,ppm,4,,,
Ce,320,ppm,8,,,
Pr,19,ppm,0.92,,,
Nd,132,ppm,3.4,,,
Sm,,,,,,
Eu,,,,,,
Gd,,,,,,
Tb,,,,,,
Dy,,,,,,
Ho,,,,,,
Er,,,,,,
Tm,,,,,,
Yb,,,,,,
Lu,,,,,,
Hf,2.5,ppm,0.44,,,
Ta,0.88,ppm,0.098,,,
W,,,,,,
Re,,,,,,
Os,,,,,,
Ir,,,,,,
Pt,,,,,,
Au,,,,,,
Hg,,,,,,
Tl,,,,,,
Pb,,,,,,
Bi,,,,,,
Th,,,,,,
U,,,,,,
d7Li,2.42,-,0.36,,,
87Sr/86Sr,0.71236,,0.00066,,,
143Nd/144Nd,0.51221,,0.00004,,,
206Pb/204Pb,18.929,,0.05,,,
207Pb/204Pb,15.694,,0.014,,,
208Pb/204Pb,39.121,,0.056,,,
