Title: MORB_Gale2013-0

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 rhm-oxide_0 whitlockite 
5000.00 1298.15 100.098685 0.000000 0.764926 27.923896 24.133176 0.000000 44.949866 1.946230 0.380592 
5000.00 1293.15 100.097523 0.000000 0.772590 27.820089 24.190087 0.091932 44.920943 1.921290 0.380592 
5000.00 1288.15 100.095314 0.000000 0.778557 27.208495 24.347722 0.690589 44.851443 1.837916 0.380592 
5000.00 1283.15 100.093121 0.000000 0.784342 26.621274 24.501864 1.267735 44.782229 1.755085 0.380592 
5000.00 1278.15 100.090946 0.000000 0.789946 26.057109 24.652551 1.824592 44.713335 1.672821 0.380592 
5000.00 1273.15 100.088790 0.000000 0.795374 25.514794 24.799819 2.362271 44.644793 1.591147 0.380592 
5000.00 1268.15 100.086653 0.000000 0.800629 24.993223 24.943706 2.881781 44.576633 1.510088 0.380592 
5000.00 1263.15 100.084535 0.000000 0.805714 24.491377 25.084250 3.384050 44.508886 1.429666 0.380592 
5000.00 1258.15 100.082438 0.000000 0.810632 24.008314 25.221487 3.869924 44.441585 1.349905 0.380592 
5000.00 1253.15 100.080362 0.000000 0.815388 23.543164 25.355455 4.340181 44.374758 1.270825 0.380592 
5000.00 1248.15 100.078308 0.000000 0.819983 23.095120 25.486192 4.795537 44.308435 1.192448 0.380592 
5000.00 1243.15 100.076277 0.000000 0.824423 22.663431 25.613735 5.236655 44.242646 1.114796 0.380592 
5000.00 1238.15 100.074268 0.000000 0.828710 22.247395 25.738122 5.664144 44.177419 1.037887 0.380592 
5000.00 1233.15 100.072284 0.000000 0.832848 21.846359 25.859391 6.078572 44.112782 0.961741 0.380592 
5000.00 1228.15 100.070324 0.000000 0.836840 21.459709 25.977581 6.480464 44.048762 0.886377 0.380592 
5000.00 1223.15 100.068388 0.000000 0.840690 21.086870 26.092730 6.870309 43.985385 0.811813 0.380592 
5000.00 1218.15 100.066479 0.000000 0.844401 20.727301 26.204877 7.248566 43.922677 0.738065 0.380592 
5000.00 1213.15 100.064595 0.000000 0.847977 20.380493 26.314062 7.615659 43.860663 0.665149 0.380592 
5000.00 1208.15 100.062737 0.000000 0.851421 20.045963 26.420323 7.971989 43.799367 0.593082 0.380592 
5000.00 1203.15 100.060907 0.000000 0.854738 19.723257 26.523701 8.317930 43.738812 0.521877 0.380592 
5000.00 1198.15 100.059104 0.000000 0.857930 19.411944 26.624235 8.653835 43.679020 0.451549 0.380592 
5000.00 1193.15 100.057329 0.000000 0.861001 19.111612 26.721967 8.980036 43.620012 0.382109 0.380592 
5000.00 1188.15 100.055582 0.000000 0.863954 18.821873 26.816938 9.296847 43.561808 0.313570 0.380592 
5000.00 1183.15 100.053864 0.000000 0.866794 18.542357 26.909187 9.604564 43.504428 0.245943 0.380592 
5000.00 1178.15 100.052175 0.000000 0.869523 18.272708 26.998758 9.903468 43.447889 0.179237 0.380592 
5000.00 1173.15 100.050515 0.000000 0.872145 18.012589 27.085691 10.193825 43.392210 0.113463 0.380592 
5000.00 1168.15 100.048885 0.000000 0.874664 17.761677 27.170029 10.475889 43.337406 0.048627 0.380592 
5000.00 1163.15 100.047501 0.000000 0.877261 17.589020 27.224607 10.684293 43.291728 0.000000 0.380592 
5000.00 1158.15 100.046814 0.000000 0.880362 17.638522 27.192689 10.682182 43.272468 0.000000 0.380592 
5000.00 1153.15 100.046131 0.000000 0.883428 17.687225 27.161582 10.680048 43.253256 0.000000 0.380592 
5000.00 1148.15 100.045452 0.000000 0.886458 17.735149 27.131275 10.677886 43.234092 0.000000 0.380592 
5000.00 1143.15 100.044775 0.000000 0.889448 17.782308 27.101759 10.675693 43.214975 0.000000 0.380592 
