Title: MORB_Gale2013-3

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 whitlockite 
5000.00 1573.15 100.142208 36.409108 36.409108 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.142359 36.396512 36.396512 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.142514 36.383920 36.383920 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.142675 36.371332 36.371332 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.142842 36.358747 36.358747 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.143014 36.346167 36.346167 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.143192 36.333590 36.333590 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.143376 36.321017 36.321017 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.143565 36.308449 36.308449 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.143751 36.211366 35.665625 0.000000 0.545741 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.144104 36.054366 34.577003 0.000000 1.477363 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.143928 35.835897 32.149855 0.000000 2.630702 0.000000 0.000000 1.055340 0.000000 
5000.00 1513.15 100.143121 35.598260 29.137383 0.000000 3.825015 0.000000 0.000000 2.635862 0.000000 
5000.00 1508.15 100.142097 35.378112 26.268716 0.000000 4.912827 0.000000 0.000000 4.196570 0.000000 
5000.00 1503.15 100.141110 35.177620 23.585013 0.000000 5.346923 0.538981 0.000000 5.706704 0.000000 
5000.00 1498.15 100.140358 34.999225 21.201537 0.000000 5.511455 1.225719 0.000000 7.060514 0.000000 
5000.00 1493.15 100.139842 34.839646 19.093405 0.000000 5.664168 1.822436 0.000000 8.259638 0.000000 
5000.00 1488.15 100.139558 34.695421 17.212215 0.000000 5.809891 2.344278 0.000000 9.329038 0.000000 
5000.00 1483.15 100.139507 34.563906 15.521052 0.000000 5.951237 2.803947 0.000000 10.287670 0.000000 
5000.00 1478.15 100.139697 34.443050 13.991377 0.000000 6.089492 3.212162 0.000000 11.150020 0.000000 
5000.00 1473.15 100.140136 34.331214 12.600595 0.000000 6.225185 3.578107 0.000000 11.927328 0.000000 
5000.00 1468.15 100.140843 34.227129 11.332007 0.000000 6.358560 3.909449 0.000000 12.627113 0.000000 
5000.00 1463.15 100.141842 34.129799 10.173660 0.000000 6.489743 4.212866 0.000000 13.253530 0.000000 
5000.00 1458.15 100.143171 34.038425 9.117590 0.000000 6.618800 4.494567 0.000000 13.807468 0.000000 
5000.00 1453.15 100.144875 33.952331 8.158792 0.000000 6.745658 4.760807 0.000000 14.287074 0.000000 
5000.00 1448.15 100.147003 33.870886 7.293094 0.000000 6.869900 5.018160 0.000000 14.689732 0.000000 
5000.00 1443.15 100.149583 33.793475 6.514560 0.000000 6.990621 5.272914 0.000000 15.015380 0.000000 
5000.00 1438.15 100.152603 33.719614 5.814844 0.000000 7.106624 5.529275 0.000000 15.268870 0.000000 
5000.00 1433.15 100.156048 33.645849 5.160634 0.000000 7.221043 5.801891 0.000000 15.455671 0.006610 
5000.00 1428.15 100.159835 33.572927 4.550572 0.000000 7.332399 6.085794 0.000000 15.585610 0.018552 
5000.00 1423.15 100.162323 33.503972 3.822101 0.135370 7.457318 6.234982 0.000000 15.821057 0.033144 
5000.00 1418.15 100.162576 33.429110 2.841323 0.465003 7.204728 6.229575 0.433230 16.201683 0.053568 
5000.00 1413.15 100.162843 33.351549 1.877177 0.811221 6.717455 6.214720 1.134141 16.522847 0.073987 
5000.00 1408.15 100.163508 33.276791 0.965352 1.174776 6.311859 6.167227 1.770239 16.794537 0.092800 
5000.00 1403.15 100.164349 33.209447 0.129157 1.561947 6.037627 6.046586 2.291371 17.033835 0.108924 
