Title: MORB_Gale2013-1

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 spinel_0 whitlockite 
5000.00 1573.15 100.154598 36.275308 36.275308 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.154760 36.262894 36.262894 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.154929 36.250484 36.250484 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.155104 36.238078 36.238078 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.155284 36.225676 36.225676 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.155471 36.213278 36.213278 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.155664 36.200885 36.200885 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.155854 36.175854 36.094562 0.000000 0.081292 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.156063 36.011720 34.954983 0.000000 1.056738 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.156481 35.854558 33.867607 0.000000 1.986951 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.157099 35.703781 32.827898 0.000000 2.875883 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.157699 35.542822 31.486138 0.000000 3.785745 0.000000 0.000000 0.270940 0.000000 0.000000 
5000.00 1513.15 100.157410 35.331445 28.902834 0.000000 4.849168 0.000000 0.000000 1.579443 0.000000 0.000000 
5000.00 1508.15 100.156942 35.136132 26.483880 0.000000 5.817728 0.000000 0.000000 2.834525 0.000000 0.000000 
5000.00 1503.15 100.156353 34.954795 24.210817 0.000000 6.704209 0.000000 0.000000 4.039768 0.000000 0.000000 
5000.00 1498.15 100.155706 34.786259 22.078708 0.000000 7.516561 0.000000 0.000000 5.190989 0.000000 0.000000 
5000.00 1493.15 100.155060 34.629728 20.087961 0.000000 8.260742 0.000000 0.000000 6.281025 0.000000 0.000000 
5000.00 1488.15 100.154462 34.484397 18.237512 0.000000 8.942641 0.000000 0.000000 7.304244 0.000000 0.000000 
5000.00 1483.15 100.153944 34.349326 16.522063 0.000000 9.568605 0.000000 0.000000 8.258658 0.000000 0.000000 
5000.00 1478.15 100.153524 34.223490 14.932571 0.000000 10.145110 0.000000 0.000000 9.145809 0.000000 0.000000 
5000.00 1473.15 100.153326 34.104693 13.431437 0.000000 10.234421 0.452734 0.000000 9.986101 0.000000 0.000000 
5000.00 1468.15 100.153315 33.992813 12.031186 0.000000 10.168699 1.026443 0.000000 10.766486 0.000000 0.000000 
5000.00 1463.15 100.153451 33.887319 10.728506 0.000000 10.117171 1.554396 0.000000 11.487247 0.000000 0.000000 
5000.00 1458.15 100.153739 33.787466 9.512817 0.000000 10.079038 2.042000 0.000000 12.153610 0.000000 0.000000 
5000.00 1453.15 100.154199 33.692777 8.378840 0.000000 10.053500 2.493913 0.000000 12.766525 0.000000 0.000000 
5000.00 1448.15 100.154894 33.603120 7.330010 0.000000 10.040072 2.914308 0.000000 13.318730 0.000000 0.000000 
5000.00 1443.15 100.155961 33.518764 6.381315 0.000000 10.038503 3.307652 0.000000 13.791293 0.000000 0.000000 
5000.00 1438.15 100.157568 33.440033 5.550346 0.000000 10.047936 3.679528 0.000000 14.162223 0.000000 0.000000 
5000.00 1433.15 100.159794 33.365070 4.824272 0.000000 10.067128 4.043368 0.000000 14.426828 0.000000 0.003475 
5000.00 1428.15 100.162606 33.291099 4.168588 0.000000 10.094489 4.413464 0.000000 14.600535 0.000000 0.014023 
5000.00 1423.15 100.165867 33.220486 3.585037 0.000000 10.126844 4.775970 0.000000 14.708308 0.000000 0.024327 
5000.00 1418.15 100.169392 33.153227 3.059568 0.000000 10.163420 5.126401 0.000000 14.769529 0.000000 0.034309 
